CAS or NOCAS-number,SMILES,TC TPO inhibition activity,Presence in test set marked with *
115-29-7,C12(Cl)C(Cl)(Cl)C(Cl)(C(Cl)=C1Cl)C1C2COS(=O)OC1,Inactive,
115-32-2,C(Cl)(Cl)(Cl)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,Inactive,
115-77-5,C(CO)(CO)(CO)CO,Inactive,
115-86-6,c1(OP(=O)(Oc2ccccc2)Oc2ccccc2)ccccc1,Inactive,
115-96-8,C(Cl)COP(=O)(OCCCl)OCCCl,Inactive,
116-06-3,C(C)(C)(C=NOC(=O)NC)SC,Inactive,
116-25-6,C1(=O)C(C)(C)N(CO)C(=O)N1,Inactive,
117-39-5,C1(=O)C(=O)c2c(O)cc(O)cc2OC1c1cc(O)c(O)cc1,Active,
117-79-3,c12C(=O)c3c(C(=O)c1cc(N)cc2)cccc3,Inactive,
117-81-7,C(=O)(c1c(C(=O)OCC(CCCC)CC)cccc1)OCC(CCCC)CC,Inactive,
117-84-0,C(=O)(c1c(C(=O)OCCCCCCCC)cccc1)OCCCCCCCC,Active,
118-52-5,C1(=O)C(C)(C)N(Cl)C(=O)N1Cl,Inactive,
118-71-8,C1(=O)C(=O)C=COC1C,Active,
119-36-8,C(=O)(c1c(O)cccc1)OC,Inactive,
119-61-9,c1(C(=O)c2ccccc2)ccccc1,Inactive,
119-93-7,c1(-c2cc(C)c(N)cc2)cc(C)c(N)cc1,Inactive,
120-12-7,c12c(cc3c(cccc3)c1)cccc2,Active,
120-32-1,c1(O)c(Cc2ccccc2)cc(Cl)cc1,Inactive,
120-36-5,c1(OC(C)C(=O)O)c(Cl)cc(Cl)cc1,Inactive,
120-47-8,C(=O)(c1ccc(O)cc1)OCC,Inactive,
120-61-6,C(=O)(c1ccc(C(=O)OC)cc1)OC,Inactive,
120-71-8,c1(OC)c(N)cc(C)cc1,Active,
120-80-9,c1(O)c(O)cccc1,Active,
120-82-1,c1(Cl)c(Cl)cc(Cl)cc1,Inactive,
120-83-2,c1(O)c(Cl)cc(Cl)cc1,Inactive,
121-00-6,C(C)(C)(C)c1c(O)ccc(OC)c1,Active,
121-14-2,c1(C)c(N(=O)=O)cc(N(=O)=O)cc1,Inactive,
121-33-5,c1(O)c(OC)cc(C=O)cc1,Inactive,
121-69-7,c1(N(C)C)ccccc1,Active,
121-75-5,C(=O)(C(CC(=O)OCC)SP(=S)(OC)OC)OCC,Active,
121-79-9,C(=O)(c1cc(O)c(O)c(O)c1)OCCC,Active,
121-91-5,C(=O)(O)c1cc(C(=O)O)ccc1,Inactive,
122-14-5,c1(N(=O)=O)c(C)cc(OP(=S)(OC)OC)cc1,Active,
122-34-9,c1(Cl)nc(NCC)nc(NCC)n1,Inactive,
122-39-4,c1(Nc2ccccc2)ccccc1,Inactive,
122-62-3,C(=O)(CCCCCCCCC(=O)OCC(CCCC)CC)OCC(CCCC)CC,Inactive,
122-66-7,c1(NNc2ccccc2)ccccc1,Inactive,
122-99-6,c1(OCCO)ccccc1,Inactive,
123-01-3,c1(CCCCCCCCCCCC)ccccc1,Inactive,
123-25-1,C(=O)(CCC(=O)OCC)OCC,Inactive,
123-31-9,c1(O)ccc(O)cc1,Active,
123-33-1,C1(=O)C=CC(=O)NN1,Inactive,
123-35-3,C(=C)(C=C)CCC=C(C)C,Inactive,
123-42-2,C(C)(=O)CC(C)(C)O,Inactive,
123-51-3,C(C)(C)CCO,Inactive,
124-04-9,C(=O)(O)CCCCC(=O)O,Inactive,
124-13-0,C(=O)CCCCCCC,Inactive,
124-18-5,C(C)CCCCCCCC,Inactive,
124-94-7,C(=O)(C1(O)C2(C)C(C3C(F)(C4(C)C(=CC(=O)C=C4)CC3)C(O)C2)CC1O)CO,Inactive,
126-11-4,C(CO)(CO)(CO)N(=O)=O,Inactive,
126-14-7,C1(COC(C)=O)(OC2C(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(COC(C)=O)O2)C(OC(C)=O)C(OC(C)=O)C(COC(C)=O)O1,Inactive,
126-73-8,C(CCC)OP(=O)(OCCCC)OCCCC,Inactive,
126-86-3,C(C)(O)(C#CC(C)(O)CC(C)C)CC(C)C,Inactive,
127-51-5,C(C)(=O)C(C)=CC1C(C)=CCCC1(C)C,Inactive,
129-00-0,c12c3c4c(ccc3ccc1)cccc4cc2,Inactive,
131-11-3,C(=O)(c1c(C(=O)OC)cccc1)OC,Inactive,
131-17-9,C(=O)(c1c(C(=O)OCC=C)cccc1)OCC=C,Inactive,
